State,City,City_Inactive_Date,City_AddTime
CA,GERBER,,2018-01-01
CA,GEYSERVILLE,,2018-01-01
CA,GILROY,,2018-01-01
CA,GLEN ELLEN,,2018-01-01
CA,GLENCOE,,2018-01-01
CA,GLENDALE,,2018-01-01
CA,GLENDORA,,2018-01-01
CA,GLENHAVEN,,2018-01-01
CA,GLENN,,2018-01-01
CA,GLENNVILLE,,2018-01-01
CA,GOLD RUN,,2018-01-01
CA,GOLETA,,2018-01-01
CA,GONZALES,,2018-01-01
CA,GOODYEARS BAR,,2018-01-01
CA,GOSHEN,,2018-01-01
CA,GRANADA HILLS,,2018-01-01
CA,GRAND TERRACE,,2018-01-01
CA,GRANITE BAY,,2018-01-01
CA,GRASS VALLEY,,2018-01-01
CA,GRATON,,2018-01-01
CA,GREEN VALLEY LAKE,,2018-01-01
CA,GREENBRAE,,2018-01-01
CA,GREENFIELD,,2018-01-01
CA,GREENVIEW,,2018-01-01
CA,GREENVILLE,,2018-01-01
CA,GREENWOOD,,2018-01-01
CA,GRENADA,,2018-01-01
CA,GRIDLEY,,2018-01-01
CA,GRIMES,,2018-01-01
CA,GRIZZLY FLATS,,2018-01-01
CA,GROVELAND,,2018-01-01
CA,GROVER BEACH,,2018-01-01
CA,GUADALUPE,,2018-01-01
CA,GUALALA,,2018-01-01
CA,GUASTI,,2018-01-01
CA,GUATAY,,2018-01-01
CA,GUERNEVILLE,,2018-01-01
CA,GUINDA,,2018-01-01
CA,GUSTINE,,2018-01-01
CA,HACIENDA HEIGHTS,,2018-01-01
CA,HALF MOON BAY,,2018-01-01
CA,HAMILTON CITY,,2018-01-01
CA,HANFORD,,2018-01-01
CA,HAPPY CAMP,,2018-01-01
CA,HARBOR CITY,,2018-01-01
CA,HARMONY,,2018-01-01
CA,HAT CREEK,,2018-01-01
CA,HATHAWAY PINES,,2018-01-01
CA,HAWAIIAN GARDENS,,2018-01-01
CA,HAWTHORNE,,2018-01-01
CA,HAYFORK,,2018-01-01
CA,HAYWARD,,2018-01-01
CA,HEALDSBURG,,2018-01-01
CA,HEBER,,2018-01-01
CA,HELENDALE,,2018-01-01
CA,HELM,,2018-01-01
CA,HEMET,,2018-01-01
CA,HERALD,,2018-01-01
CA,HERCULES,,2018-01-01
CA,HERLONG,,2018-01-01
CA,HERMOSA BEACH,,2018-01-01
CA,HESPERIA,,2018-01-01
CA,HICKMAN,,2018-01-01
CA,HIDDEN VALLEY LAKE,,2018-01-01
CA,HIGHLAND,,2018-01-01
CA,HILMAR,,2018-01-01
CA,HINKLEY,,2018-01-01
CA,HOLLISTER,,2018-01-01
CA,HOLT,,2018-01-01
CA,HOLTVILLE,,2018-01-01
CA,HOLY CITY,,2018-01-01
CA,HOMELAND,,2018-01-01
CA,HOMEWOOD,,2018-01-01
CA,HONEYDEW,,2018-01-01
CA,HOOD,,2018-01-01
CA,HOOPA,,2018-01-01
CA,HOPLAND,,2018-01-01
CA,HORNBROOK,,2018-01-01
CA,HORNITOS,,2018-01-01
CA,HUGHSON,,2018-01-01
